backend,representation_mode,candidate_mode,component,explained_variance_ratio,cumulative_explained_variance_ratio
sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,1,0.06873642653226852,0.06873642653226852
sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,2,0.05837355554103851,0.12710998207330704
sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,3,0.050028298050165176,0.1771382801234722
sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,4,0.04800277203321457,0.22514105215668678
sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,5,0.045584939420223236,0.27072599157691
sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,6,0.044684998691082,0.315410990267992
sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,7,0.04167675971984863,0.35708774998784065
sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,8,0.03897402063012123,0.3960617706179619
sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,9,0.037815168499946594,0.4338769391179085
sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,10,0.03412662446498871,0.4680035635828972
