id,slang_term,context_sentence,neutral_expression,neutral_paraphrase,neutral_sentence,neutral_alternatives,category,source_type,source_name,source_url,confidence,review_status,notes
ex031,npc,He just stood there like an NPC during the whole conversation.,passive background character,passive background character,He just stood there like a passive background character during the whole conversation.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Internet metaphor
ex038,fr,That lab was brutal fr.,for real,for real,That lab was brutal for real.,,intensifier,manual_expansion,project_manual_annotation,,high,manual_seed,Abbreviated intensifier
ex039,af,This room is loud af tonight.,extremely,extremely,This room is loud extremely tonight.,,intensifier,manual_expansion,project_manual_annotation,,high,manual_seed,Suffix-like intensifier
ex054,bffr,"Bffr, nobody believed that excuse.",be serious,be serious,"be serious, nobody believed that excuse.",,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Abbreviated imperative
ext0002,TFW,TFW you finish a big project and can finally relax,that feeling when,That feeling when,that feeling when you finish a big project and can finally relax,,emotion,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,"Often paired with an image or caption to convey an emotion or experience, mostly used in memes."
ext0014,IRL,Let’s meet IRL next week.,in real life,In Real Life,Let’s meet in real life next week.,,online,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Commonly used in online spaces to differentiate between virtual and real-life interactions.
ext0016,Smh,You forgot your homework again? Smh.,shaking my head,"Shake my head’. Another one for texting, smh usually signifies exasperation",You forgot your homework again? shaking my head.,,online,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Common in texting or social media to signal mild frustration or disappointment.
ext0018,G2G,"Sorry, G2G! Talk later!",got to go,Got to go,"Sorry, got to go! Talk later!",,online,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Frequently used in text messaging or online chats to quickly exit a conversation.
ext0019,CSL,"That joke was hilarious, CSL!",cannot stop laughing,Can’t stop laughing,"That joke was hilarious, cannot stop laughing!",,intensifier,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Common in texting or online conversations to emphasize uncontrollable laughter.
ext0020,IMOH,"IMOH, this is the best pizza place in town.",in my humble opinion,In my humble opinion,"in my humble opinion, this is the best pizza place in town.",,online,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Commonly used in online discussions to share a polite or humble opinion.
ext0021,DTR,"We need to DTR soon, I need to know where we stand.",define the relationship,Define the relationship,"We need to define the relationship soon, I need to know where we stand.",,dating_social,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Used in dating to clarify whether a relationship is serious or casual.
ext0022,CU,"It was fun hanging out, CU later!",See You,See You,"It was fun hanging out, See You later!",,online,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Frequently used in online chats or texts as a casual farewell.
ext0023,CUL8R,"Got to go, CUL8R!",See You Later,See You Later,"Got to go, See You Later!",,online,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Common in texting or online messaging.
ext0024,GG,"That was a tough match, GG!",good game,Good Game,"That was a tough match, good game!",,judgment,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Frequently used in gaming culture to acknowledge a well-played game.
ext0025,GN,"It’s late, GN!",Good Night,Good Night,"It’s late, Good Night!",,online,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Commonly used in texting or online chats when saying goodbye before bed.
ext0026,LMAO,That meme had me LMAO!,Laugh My A.. Off,Laugh My A.. Off,That meme had me Laugh My A.. Off!,,emotion,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Used in online conversations to express loud laughter.
ext0027,MTE,That was so unnecessary! MTE.,my thoughts exactly,My Thoughts Exactly,That was so unnecessary! my thoughts exactly.,,agreement_discourse,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Used to express agreement with someone else’s statement.
ext0028,ROFLOL,"I tripped and spilled my drink, ROFLOL!",laughing very hard,Rolling On The Floor Laughing Out Loud,"I tripped and spilled my drink, laughing very hard!",,intensifier,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,"An exaggerated version of “ROFL,” combining both phrases to emphasize laughter."
ext0029,TTFN,"I’m heading out, TTFN!",goodbye for now,Ta-Ta For Now!,"I’m heading out, goodbye for now!",,judgment,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,A playful way of saying goodbye temporarily.
ext0030,U4E,"I’ll always be there for you, U4E.",Yours For Ever,Yours For Ever,"I’ll always be there for you, Yours For Ever.",,dating_social,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Often used in romantic or deep friendship contexts to express long-lasting loyalty.
ext0031,WTG,You aced the exam? WTG!,well done,Way To Go!,You aced the exam? well done!,,performance,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,A phrase used to congratulate or praise someone for their achievement or success. Commonly used in informal settings to show approval.
ext0032,TIME,"That movie was so emotional, I have TIME right now.",tears in my eyes,Tears in my eyes,"That movie was so emotional, I have tears in my eyes right now.",,agreement_discourse,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Used to express when something is so touching or emotional that it brings tears to your eyes.
ext0033,BFF,Can’t wait to hang out with my BFF this weekend!,best friend,Best friends forever,Can’t wait to hang out with my best friend this weekend!,,intensifier,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,"Refers to someone who is a very close friend, often with the promise of lifelong friendship."
ext0034,1432,"1432, can’t wait to see you.",I love you too,I love you too,"I love you too, can’t wait to see you.",,agreement_discourse,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,"A response to “143,” meaning “I love you too.”"
ext0035,2EZ,That exam was 2EZ!,too easy,Too easy,That exam was too easy!,,intensifier,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Used to describe something as very simple or easy to accomplish.
ext0036,AFPOE,I need AFPOE to review this document.,A fresh pair of eyes,A fresh pair of eyes,I need A fresh pair of eyes to review this document.,,agreement_discourse,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Refers to asking someone who hasn’t seen the project or work to give new feedback or perspective.
