dataset,split,method,backend,representation_mode,candidate_mode,top_1_accuracy,top_3_accuracy,alpha
current_96,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.05,0.1,0.25
current_96,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0,0.05,0.0
current_96,test,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0,0.05,
current_96,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,balanced_distractors,0.3,0.65,0.25
current_96,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,balanced_distractors,0.3,0.6,2.0
current_96,test,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,balanced_distractors,0.4,0.7,
current_96,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.15,0.5,0.25
current_96,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.2,0.55,2.0
current_96,test,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.3,0.5,
current_96,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.1,0.25,0.0
current_96,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.1,0.25,0.25
current_96,test,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.1,0.25,
current_96,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,balanced_distractors,0.4,0.8,0.0
current_96,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,balanced_distractors,0.45,0.75,0.5
current_96,test,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,balanced_distractors,0.4,0.8,
current_96,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.35,0.65,0.0
current_96,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.35,0.7,1.5
current_96,test,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.35,0.65,
kaggle_75,test,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0,0.0667,
kaggle_75,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0,0.0667,0.0
kaggle_75,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0,0.0667,0.25
kaggle_75,test,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,balanced_distractors,0.2667,0.6667,
kaggle_75,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,balanced_distractors,0.2667,0.6667,0.0
kaggle_75,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,balanced_distractors,0.2667,0.6667,0.0
kaggle_75,test,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.1333,0.5333,
kaggle_75,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.1333,0.4667,0.5
kaggle_75,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.1333,0.5333,0.0
kaggle_75,test,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.0,0.2667,
kaggle_75,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.0,0.2667,0.0
kaggle_75,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.0,0.2667,0.0
kaggle_75,test,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,balanced_distractors,0.3333,0.7333,
kaggle_75,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,balanced_distractors,0.2,0.5333,1.0
kaggle_75,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,balanced_distractors,0.3333,0.7333,0.0
kaggle_75,test,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.4,0.7333,
kaggle_75,test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.4,0.7333,0.5
kaggle_75,test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.4,0.7333,0.0
