id,slang_term,context_sentence,neutral_expression,neutral_paraphrase,neutral_sentence,neutral_alternatives,category,source_type,source_name,source_url,confidence,review_status,notes
ex041,hard launch,She hard launched her new relationship on Instagram.,publicly revealed,publicly revealed,She publicly revealeded her new relationship on Instagram.,,online,manual_expansion,project_manual_annotation,,high,manual_seed,Social media phrase
ext0007,Snack,He showed up to the party looking like a whole snack.,attractive person,a person that you find attractive,He showed up to the party looking like a whole attractive person.,,dating_social,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,"A compliment used in dating or flirting contexts, implying someone is good-looking and appealing."
ex001,cooked,"After missing two deadlines, I am completely cooked in this class.",in serious trouble,in serious trouble,"After missing two deadlines, I am completely in serious trouble in this class.",,action_event,demo_seed,project_manual_annotation,,high,manual_seed,High-confidence starter example
ex025,stan,I still stan that artist after all these years.,strongly support,strongly support,I still strongly support that artist after all these years.,,other,manual_expansion,project_manual_annotation,,high,manual_seed,Verb usage
ext0029,TTFN,"I’m heading out, TTFN!",goodbye for now,Ta-Ta For Now!,"I’m heading out, goodbye for now!",,judgment,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,A playful way of saying goodbye temporarily.
ex009,flex,He keeps posting his watch just to flex.,show off,show off,He keeps posting his watch just to show off.,,other,demo_seed,project_manual_annotation,,high,manual_seed,Verb sense
ex006,slaps,This playlist slaps from start to finish.,is excellent,is excellent,This playlist is excellent from start to finish.,,judgment,demo_seed,project_manual_annotation,,high,manual_seed,Positive assessment
ex014,lowkey,I lowkey want to skip the party and stay home.,kind of,kind of,I kind of want to skip the party and stay home.,,agreement_discourse,demo_seed,project_manual_annotation,,high,manual_seed,Adverbial hedge
kgmerge012,Receipts,Show me the receipts for your claims.,Proof or evidence,Proof or evidence.,Show me the Proof or evidence for your claims.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_kaggle_curated,popularity=High
ex027,shade,She was definitely throwing shade in that interview.,subtle disrespect,subtle disrespect,She was definitely throwing subtle disrespect in that interview.,,dating_social,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ext0021,DTR,"We need to DTR soon, I need to know where we stand.",define the relationship,Define the relationship,"We need to define the relationship soon, I need to know where we stand.",,dating_social,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Used in dating to clarify whether a relationship is serious or casual.
ex011,cap,That story about meeting the celebrity is cap.,a lie,a lie,That story about meeting the celebrity is a lie.,,agreement_discourse,demo_seed,project_manual_annotation,,high,manual_seed,Noun usage
ex038,fr,That lab was brutal fr.,for real,for real,That lab was brutal for real.,,intensifier,manual_expansion,project_manual_annotation,,high,manual_seed,Abbreviated intensifier
ex047,brainrot,My feed is pure exam brainrot now.,obsessive low-value fixation,obsessive low-value fixation,My feed is pure exam obsessive low-value fixation now.,,online,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ext0033,BFF,Can’t wait to hang out with my BFF this weekend!,best friend,Best friends forever,Can’t wait to hang out with my best friend this weekend!,,intensifier,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,"Refers to someone who is a very close friend, often with the promise of lifelong friendship."
ex002,ate,She really ate with that presentation today.,did extremely well,did extremely well,She really did extremely well with that presentation today.,,performance,demo_seed,project_manual_annotation,,high,manual_seed,Used in a positive evaluative sense
ex007,down bad,Ever since the breakup he has been down bad.,emotionally desperate,emotionally desperate,Ever since the breakup he has been emotionally desperate.,,emotion,demo_seed,project_manual_annotation,,high,manual_seed,Phrase-level slang
kgmerge007,Gucci,Everything's Gucci.,Good or cool,Good or cool.,Everything's Good or cool.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_kaggle_curated,popularity=Medium
ex045,mogged,He got mogged in every photo from the trip.,looked much worse by comparison,looked much worse by comparison,He got looked much worse by comparison in every photo from the trip.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Comparative slang
ex028,shady,That refund policy feels shady to me.,dishonest,dishonest,That refund policy feels dishonest to me.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Adjective usage
ext0009,Facts,Pizza is the best food ever. Facts.,true,The truth,Pizza is the best food ever. true.,,intensifier,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Used to emphasize agreement or that something is undeniably true.
ext0032,TIME,"That movie was so emotional, I have TIME right now.",tears in my eyes,Tears in my eyes,"That movie was so emotional, I have tears in my eyes right now.",,agreement_discourse,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Used to express when something is so touching or emotional that it brings tears to your eyes.
ex010,bussin,These tacos are bussin.,very tasty,very tasty,These tacos are very tasty.,,other,demo_seed,project_manual_annotation,,high,manual_seed,Food-related usage
ex012,no cap,"No cap, that was the hardest exam I have taken.",seriously,seriously,"seriously, that was the hardest exam I have taken.",,intensifier,demo_seed,project_manual_annotation,,high,manual_seed,Discourse marker
ex016,ratioed,He got ratioed after that rude reply.,received far more criticism than support,received far more criticism than support,He received far more criticism than support after that rude reply.,,online,demo_seed,project_manual_annotation,,high,manual_seed_neutral_sentence_review,Social-media-specific event
ext0026,LMAO,That meme had me LMAO!,Laugh My A.. Off,Laugh My A.. Off,That meme had me Laugh My A.. Off!,,emotion,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,Used in online conversations to express loud laughter.
ex040,rent-free,That awkward moment is living rent-free in my head.,constantly on my mind,constantly on my mind,That awkward moment is living constantly on my mind in my head.,,emotion,manual_expansion,project_manual_annotation,,high,manual_seed,Fixed expression
kgmerge005,Finesse,He finessed his way into the club.,handle something skillfully,To handle something skillfully.,He finessed his way into the club. Meaning: handle something skillfully.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_kaggle_curated,popularity=Medium
