id,slang_term,context_sentence,neutral_expression,neutral_paraphrase,neutral_sentence,neutral_alternatives,category,source_type,source_name,source_url,confidence,review_status,notes
ex042,soft launch,He soft launched the project by posting a vague teaser.,partially revealed,partially revealed,He partially revealeded the project by posting a vague teaser.,,online,manual_expansion,project_manual_annotation,,high,manual_seed,Social media phrase
ex011,cap,That story about meeting the celebrity is cap.,a lie,a lie,That story about meeting the celebrity is a lie.,,agreement_discourse,demo_seed,project_manual_annotation,,high,manual_seed,Noun usage
kgmerge002,Cancelled,She got cancelled after that post.,Publicly denounced and rejected,Publicly denounced and rejected.,She got Publicly denounced and rejected after that post.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_kaggle_curated,popularity=High
ex002,ate,She really ate with that presentation today.,did extremely well,did extremely well,She really did extremely well with that presentation today.,,performance,demo_seed,project_manual_annotation,,high,manual_seed,Used in a positive evaluative sense
ex007,down bad,Ever since the breakup he has been down bad.,emotionally desperate,emotionally desperate,Ever since the breakup he has been emotionally desperate.,,emotion,demo_seed,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex028,shady,That refund policy feels shady to me.,dishonest,dishonest,That refund policy feels dishonest to me.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Adjective usage
ex005,delulu,"If you think they will refund all of that, you are delulu.",delusional,delusional,"If you think they will refund all of that, you are delusional.",,judgment,demo_seed,project_manual_annotation,,high,manual_seed,Common clipped form
ex050,go off,"When he started talking about music theory, he really went off.",spoke passionately at length,spoke passionately at length,"When he started talking about music theory, he spoke passionately at length.",,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex048,aura,Missing that easy layup cost him aura.,social prestige,social prestige,Missing that easy layup cost him social prestige.,,other,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ex018,sus,This excuse sounds sus to me.,suspicious,suspicious,This excuse sounds suspicious to me.,,judgment,demo_seed,project_manual_annotation,,high,manual_seed,Adjectival slang
ext0010,I oop,She spilled her drink on her dress and I oop!,awkward surprise,"Used to express shock, embarrassment, and or amusement.",She spilled her drink on her dress and awkward surprise!,,emotion,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,"Popularized by meme culture, often used humorously when something unexpected happens."
ex010,bussin,These tacos are bussin.,very tasty,very tasty,These tacos are very tasty.,,other,demo_seed,project_manual_annotation,,high,manual_seed,Food-related usage
ex012,no cap,"No cap, that was the hardest exam I have taken.",seriously,seriously,"seriously, that was the hardest exam I have taken.",,intensifier,demo_seed,project_manual_annotation,,high,manual_seed,Discourse marker
ex016,ratioed,He got ratioed after that rude reply.,received far more criticism than support,received far more criticism than support,He received far more criticism than support after that rude reply.,,online,demo_seed,project_manual_annotation,,high,manual_seed_neutral_sentence_review,Social-media-specific event
ext0011,Sksksk,I spilled my drink sksksk.,excited laughter,Used to convey happiness/laughter,I spilled my drink excited laughter.,,emotion,external_dataset,MLBtrio/genz-slang-dataset,https://huggingface.co/datasets/MLBtrio/genz-slang-dataset,high,external_selected_auto,"Often associated with VSCO girl culture, it’s used in casual, playful conversation."
ex043,cheugy,That slogan feels kind of cheugy now.,outdated in an uncool way,outdated in an uncool way,That slogan feels kind of outdated in an uncool way now.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Trend-related adjective
kgmerge005,Finesse,He finessed his way into the club.,handle something skillfully,To handle something skillfully.,He finessed his way into the club. Meaning: handle something skillfully.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_kaggle_curated,popularity=Medium
kgmerge013,Shooketh,I am shooketh by that twist.,Extremely shocked,Extremely shocked.,I am Extremely shocked by that twist.,,emotion,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_kaggle_curated,popularity=Medium
ex046,locked in,She has been locked in since finals season started.,fully focused,fully focused,She has been fully focused since finals season started.,,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex021,cringe,That brand response was so cringe.,embarrassing,embarrassing,That brand response was so embarrassing.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,High-confidence adjective usage
kgmerge004,Dope,That jacket is dope.,Cool or excellent,Cool or excellent.,That jacket is Cool or excellent.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_kaggle_curated,popularity=High
ex056,its giving,That outfit is giving early-2000s pop star.,it resembles,it resembles,That outfit resembles an early-2000s pop star.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level comparison
ex013,pressed,Why are you so pressed about a small comment?,upset,upset,Why are you so upset about a small comment?,,emotion,demo_seed,project_manual_annotation,,high,manual_seed,Emotion adjective
ex025,stan,I still stan that artist after all these years.,strongly support,strongly support,I still strongly support that artist after all these years.,,other,manual_expansion,project_manual_annotation,,high,manual_seed,Verb usage
kgmerge012,Receipts,Show me the receipts for your claims.,Proof or evidence,Proof or evidence.,Show me the Proof or evidence for your claims.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_kaggle_curated,popularity=High
ex006,slaps,This playlist slaps from start to finish.,is excellent,is excellent,This playlist is excellent from start to finish.,,judgment,demo_seed,project_manual_annotation,,high,manual_seed,Positive assessment
ex033,glow up,His glow up over the last year has been unreal.,major improvement in appearance or confidence,major improvement in appearance or confidence,His appearance and confidence improved a lot over the last year.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Noun phrase
