dataset,representation_mode,candidate_mode,method,top_1_accuracy,top_3_accuracy,alpha
current_96,term_paraphrase,all_candidates,raw,0.1,0.25,
current_96,term_paraphrase,all_candidates,mean_offset,0.1,0.25,0.25
current_96,term_paraphrase,all_candidates,eigenslang_pca,0.1,0.25,0.0
current_96,term_paraphrase,category_candidates,raw,0.35,0.65,
current_96,term_paraphrase,category_candidates,mean_offset,0.35,0.7,1.5
current_96,term_paraphrase,category_candidates,eigenslang_pca,0.35,0.65,0.0
current_96,term_paraphrase,balanced_distractors,raw,0.4,0.8,
current_96,term_paraphrase,balanced_distractors,mean_offset,0.45,0.75,0.5
current_96,term_paraphrase,balanced_distractors,eigenslang_pca,0.4,0.8,0.0
current_96,contextual_sentence,all_candidates,raw,0.0,0.05,
current_96,contextual_sentence,all_candidates,mean_offset,0.0,0.05,0.0
current_96,contextual_sentence,all_candidates,eigenslang_pca,0.05,0.1,0.25
current_96,contextual_sentence,category_candidates,raw,0.3,0.5,
current_96,contextual_sentence,category_candidates,mean_offset,0.2,0.55,2.0
current_96,contextual_sentence,category_candidates,eigenslang_pca,0.15,0.5,0.25
current_96,contextual_sentence,balanced_distractors,raw,0.4,0.7,
current_96,contextual_sentence,balanced_distractors,mean_offset,0.3,0.6,2.0
current_96,contextual_sentence,balanced_distractors,eigenslang_pca,0.3,0.65,0.25
merged_112,term_paraphrase,all_candidates,raw,0.0435,0.1739,
merged_112,term_paraphrase,all_candidates,mean_offset,0.0435,0.1739,0.0
merged_112,term_paraphrase,all_candidates,eigenslang_pca,0.0435,0.1739,0.0
merged_112,term_paraphrase,category_candidates,raw,0.3043,0.6087,
merged_112,term_paraphrase,category_candidates,mean_offset,0.3043,0.6522,0.25
merged_112,term_paraphrase,category_candidates,eigenslang_pca,0.3043,0.6087,0.0
merged_112,term_paraphrase,balanced_distractors,raw,0.4348,0.7391,
merged_112,term_paraphrase,balanced_distractors,mean_offset,0.4348,0.7391,0.0
merged_112,term_paraphrase,balanced_distractors,eigenslang_pca,0.4348,0.7391,0.0
merged_112,contextual_sentence,all_candidates,raw,0.0,0.0435,
merged_112,contextual_sentence,all_candidates,mean_offset,0.0,0.0435,0.0
merged_112,contextual_sentence,all_candidates,eigenslang_pca,0.0,0.0435,0.0
merged_112,contextual_sentence,category_candidates,raw,0.2174,0.4348,
merged_112,contextual_sentence,category_candidates,mean_offset,0.2609,0.4348,0.5
merged_112,contextual_sentence,category_candidates,eigenslang_pca,0.2174,0.4348,0.0
merged_112,contextual_sentence,balanced_distractors,raw,0.3913,0.6957,
merged_112,contextual_sentence,balanced_distractors,mean_offset,0.4348,0.6087,1.5
merged_112,contextual_sentence,balanced_distractors,eigenslang_pca,0.3913,0.6957,0.0
