id,slang_term,context_sentence,neutral_expression,neutral_paraphrase,neutral_sentence,neutral_alternatives,category,source_type,source_name,source_url,confidence,review_status,notes
ex001,cooked,"After missing two deadlines, I am completely cooked in this class.",in serious trouble,in serious trouble,"After missing two deadlines, I am completely in serious trouble in this class.",,action_event,demo_seed,project_manual_annotation,,high,manual_seed,High-confidence starter example
ex002,ate,She really ate with that presentation today.,did extremely well,did extremely well,She really did extremely well with that presentation today.,,performance,demo_seed,project_manual_annotation,,high,manual_seed,Used in a positive evaluative sense
ex003,mid,That movie was pretty mid honestly.,mediocre,mediocre,That movie was pretty mediocre honestly.,,judgment,demo_seed,project_manual_annotation,,high,manual_seed,Neutral paraphrase is adjectival
ex004,rizz,He has absurd rizz when he talks to strangers.,charisma,charisma,He has absurd charisma when he talks to strangers.,,dating_social,demo_seed,project_manual_annotation,,high,manual_seed,Short noun paraphrase
ex005,delulu,"If you think they will refund all of that, you are delulu.",delusional,delusional,"If you think they will refund all of that, you are delusional.",,judgment,demo_seed,project_manual_annotation,,high,manual_seed,Common clipped form
ex006,slaps,This playlist slaps from start to finish.,is excellent,is excellent,This playlist is excellent from start to finish.,,judgment,demo_seed,project_manual_annotation,,high,manual_seed,Positive assessment
ex007,down bad,Ever since the breakup he has been down bad.,emotionally desperate,emotionally desperate,Ever since the breakup he has been emotionally desperate.,,emotion,demo_seed,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex008,ghosted,She ghosted me after our second date.,suddenly stopped replying,suddenly stopped replying,She suddenly stopped replying after our second date.,,dating_social,demo_seed,project_manual_annotation,,high,manual_seed,Action in context
ex009,flex,He keeps posting his watch just to flex.,show off,show off,He keeps posting his watch just to show off.,,other,demo_seed,project_manual_annotation,,high,manual_seed,Verb sense
ex010,bussin,These tacos are bussin.,very tasty,very tasty,These tacos are very tasty.,,other,demo_seed,project_manual_annotation,,high,manual_seed,Food-related usage
ex011,cap,That story about meeting the celebrity is cap.,a lie,a lie,That story about meeting the celebrity is a lie.,,agreement_discourse,demo_seed,project_manual_annotation,,high,manual_seed,Noun usage
ex012,no cap,"No cap, that was the hardest exam I have taken.",seriously,seriously,"seriously, that was the hardest exam I have taken.",,intensifier,demo_seed,project_manual_annotation,,high,manual_seed,Discourse marker
ex013,pressed,Why are you so pressed about a small comment?,upset,upset,Why are you so upset about a small comment?,,emotion,demo_seed,project_manual_annotation,,high,manual_seed,Emotion adjective
ex014,lowkey,I lowkey want to skip the party and stay home.,kind of,kind of,I kind of want to skip the party and stay home.,,agreement_discourse,demo_seed,project_manual_annotation,,high,manual_seed,Adverbial hedge
ex015,highkey,I highkey love this new laptop.,very much,very much,I very much love this new laptop.,,intensifier,demo_seed,project_manual_annotation,,high,manual_seed,Adverbial intensifier
ex016,ratioed,He got ratioed after that rude reply.,received far more criticism than support,received far more criticism than support,He received far more criticism than support after that rude reply.,,online,demo_seed,project_manual_annotation,,high,manual_seed_neutral_sentence_review,Social-media-specific event
ex017,drip,Her drip at the concert was unreal.,fashionable style,fashionable style,Her fashionable style at the concert was unreal.,,appearance_style,demo_seed,project_manual_annotation,,high,manual_seed,Noun usage
ex018,sus,This excuse sounds sus to me.,suspicious,suspicious,This excuse sounds suspicious to me.,,judgment,demo_seed,project_manual_annotation,,high,manual_seed,Adjectival slang
ex019,bet,"Bet, I will send you the notes tonight.",okay,okay,"okay, I will send you the notes tonight.",,agreement_discourse,demo_seed,project_manual_annotation,,high,manual_seed,Agreement marker
ex020,fire,That remix is fire.,excellent,excellent,That remix is excellent.,,judgment,demo_seed,project_manual_annotation,,high,manual_seed,General positive evaluation
ex021,cringe,That brand response was so cringe.,embarrassing,embarrassing,That brand response was so embarrassing.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,High-confidence adjective usage
ex022,salty,He is still salty about getting cut from the team.,bitter,bitter,He is still bitter about getting cut from the team.,,emotion,manual_expansion,project_manual_annotation,,high,manual_seed,Emotion adjective
ex023,based,That was a based take in class today.,admirably bold,admirably bold,That was an admirably bold take in class today.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Positive evaluative slang
ex024,simp,He turned into a simp the second she texted back.,overly devoted admirer,overly devoted admirer,He turned into a overly devoted admirer the second she texted back.,,dating_social,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ex025,stan,I still stan that artist after all these years.,strongly support,strongly support,I still strongly support that artist after all these years.,,other,manual_expansion,project_manual_annotation,,high,manual_seed,Verb usage
ex026,tea,Spill the tea about what happened after the meeting.,gossip,gossip,Spill the gossip about what happened after the meeting.,,dating_social,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ex027,shade,She was definitely throwing shade in that interview.,subtle disrespect,subtle disrespect,She was definitely throwing subtle disrespect in that interview.,,dating_social,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ex028,shady,That refund policy feels shady to me.,dishonest,dishonest,That refund policy feels dishonest to me.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Adjective usage
ex029,finna,I am finna leave once this lecture ends.,about to,about to,I am about to leave once this lecture ends.,,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Future marker
ex030,deadass,I deadass forgot the assignment was due tonight.,seriously,seriously,I seriously forgot the assignment was due tonight.,,intensifier,manual_expansion,project_manual_annotation,,high,manual_seed,Adverbial intensifier
ex031,npc,He just stood there like an NPC during the whole conversation.,passive background character,passive background character,He just stood there like a passive background character during the whole conversation.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Internet metaphor
ex032,main character,She walked into the party like the main character.,the center of attention,the center of attention,She walked into the party like the the center of attention.,,other,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex033,glow up,His glow up over the last year has been unreal.,major improvement in appearance or confidence,major improvement in appearance or confidence,His appearance and confidence improved a lot over the last year.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Noun phrase
ex034,hits different,Coffee on a rainy morning hits different.,feels especially good,feels especially good,Coffee on a rainy morning feels especially good.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex035,touch grass,You need to touch grass after posting all day.,go outside and reconnect with real life,go outside and reconnect with real life,You need to go outside and reconnect with real life after posting all day.,,online,manual_expansion,project_manual_annotation,,high,manual_seed_neutral_sentence_review,Imperative phrase
ex036,yapping,He kept yapping during the movie.,talking too much,talking too much,He kept talking too much during the movie.,,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Verb form
ex037,valid,Your reason for dropping the course is valid.,reasonable,reasonable,Your reason for dropping the course is reasonable.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Positive evaluative adjective
ex038,fr,That lab was brutal fr.,for real,for real,That lab was brutal for real.,,intensifier,manual_expansion,project_manual_annotation,,high,manual_seed,Abbreviated intensifier
ex039,af,This room is loud af tonight.,extremely,extremely,This room is loud extremely tonight.,,intensifier,manual_expansion,project_manual_annotation,,high,manual_seed,Suffix-like intensifier
ex040,rent-free,That awkward moment is living rent-free in my head.,constantly on my mind,constantly on my mind,That awkward moment is living constantly on my mind in my head.,,emotion,manual_expansion,project_manual_annotation,,high,manual_seed,Fixed expression
ex041,hard launch,She hard launched her new relationship on Instagram.,publicly revealed,publicly revealed,She publicly revealeded her new relationship on Instagram.,,online,manual_expansion,project_manual_annotation,,high,manual_seed,Social media phrase
ex042,soft launch,He soft launched the project by posting a vague teaser.,partially revealed,partially revealed,He partially revealeded the project by posting a vague teaser.,,online,manual_expansion,project_manual_annotation,,high,manual_seed,Social media phrase
ex043,cheugy,That slogan feels kind of cheugy now.,outdated in an uncool way,outdated in an uncool way,That slogan feels kind of outdated in an uncool way now.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Trend-related adjective
ex044,ick,The way he chews gives me the ick.,a feeling of sudden disgust,a feeling of sudden disgust,The way he chews gives me the a feeling of sudden disgust.,,dating_social,manual_expansion,project_manual_annotation,,high,manual_seed,Noun phrase
ex045,mogged,He got mogged in every photo from the trip.,looked much worse by comparison,looked much worse by comparison,He got looked much worse by comparison in every photo from the trip.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Comparative slang
ex046,locked in,She has been locked in since finals season started.,fully focused,fully focused,She has been fully focused since finals season started.,,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex047,brainrot,My feed is pure exam brainrot now.,obsessive low-value fixation,obsessive low-value fixation,My feed is pure exam obsessive low-value fixation now.,,online,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ex048,aura,Missing that easy layup cost him aura.,social prestige,social prestige,Missing that easy layup cost him social prestige.,,other,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ex049,serve,She served at the showcase last night.,performed stylishly and impressively,performed stylishly and impressively,She performed stylishly and impressively at the showcase last night.,,performance,manual_expansion,project_manual_annotation,,high,manual_seed,Verb usage
ex050,go off,"When he started talking about music theory, he really went off.",spoke passionately at length,spoke passionately at length,"When he started talking about music theory, he spoke passionately at length.",,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex051,snatched,Her eyeliner looked snatched in those photos.,perfectly done,perfectly done,Her eyeliner looked perfectly done in those photos.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Appearance compliment
ex052,clocked,I clocked the mistake in the rubric right away.,noticed,noticed,I noticed the mistake in the rubric right away.,,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Verb usage
ex053,read,She read him for being rude to the server.,harshly called out,harshly called out,She harshly called out him for being rude to the server.,,dating_social,manual_expansion,project_manual_annotation,,high,manual_seed,Verb usage
ex054,bffr,"Bffr, nobody believed that excuse.",be serious,be serious,"be serious, nobody believed that excuse.",,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Abbreviated imperative
ex055,let him cook,"Let him cook, his argument is finally getting somewhere.",let him continue,let him continue,"let him continue, his argument is finally getting somewhere.",,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Memetic phrase
ex056,its giving,That outfit is giving early-2000s pop star.,it resembles,it resembles,That outfit resembles an early-2000s pop star.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level comparison
ex057,ate that,She ate that answer in the interview.,did that extremely well,did that extremely well,She did that extremely well answer in the interview.,,performance,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level positive evaluation
ex058,stood on business,He stood on business and actually filed the complaint.,followed through firmly,followed through firmly,He followed through firmly and actually filed the complaint.,,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex059,crashed out,He crashed out after seeing the group project grade.,had an extreme emotional reaction,had an extreme emotional reaction,He had an extreme emotional reaction after seeing the group project grade.,,emotion,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex060,motion,He has motion on campus right now.,social momentum and attention,social momentum and attention,He has social momentum and attention on campus right now.,,other,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ext0001,Bop,That new track is a bop.,excellent song,A song that's really good.,That new track is a excellent song.,,intensifier,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_auto,popularity=Medium
ext0002,Cancelled,She got cancelled after that post.,Publicly denounced and rejected,Publicly denounced and rejected.,She got Publicly denounced and rejected after that post.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ext0003,DM,I'll DM you the details.,direct message,Direct Message on social media.,I'll direct message you the details.,,online,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ext0004,Dope,That jacket is dope.,Cool or excellent,Cool or excellent.,That jacket is Cool or excellent.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ext0005,GOAT,Jordan is the GOAT.,Greatest Of All Time,Greatest Of All Time.,Jordan is the Greatest Of All Time.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ext0006,Vibes,I'm loving the vibes here.,Good energy,Good energy.,I'm loving the Good energy here.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ext0007,Shooketh,I am shooketh by that twist.,Extremely shocked,Extremely shocked.,I am Extremely shocked by that twist.,,emotion,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_auto,popularity=Medium
ext0008,Tight,He's tight about what happened.,Angry or frustrated,Angry or frustrated.,He's Angry or frustrated about what happened.,,emotion,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_auto,popularity=Medium
ext0009,Big Yikes,That was a big yikes moment.,very embarrassing,Something extremely embarrassing or cringeworthy.,That was a very embarrassing moment.,,judgment,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ext0010,Gassed Up,I'm so gassed up for the concert.,Feeling excited or confident,Feeling excited or confident.,I'm so Feeling excited or confident for the concert.,,emotion,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_auto,popularity=Medium
ext0011,Facts,That's facts.,true,Used to agree with something true.,That's true.,,agreement_discourse,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_auto,popularity=High
ext0012,Lit,That party was lit.,"Exciting, fun, or excellent","Exciting, fun, or excellent.","That party was Exciting, fun, or excellent.",,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ext0013,Gucci,Everything's Gucci.,Good or cool,Good or cool.,Everything's Good or cool.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_auto,popularity=Medium
ext0014,Shook,I was shook when I heard the news.,Shocked or surprised,Shocked or surprised.,I was Shocked or surprised when I heard the news.,,emotion,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ext0015,Dank,That meme is dank.,excellent,"High-quality, especially used for memes.",That meme is excellent.,,online,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
