id,slang_term,context_sentence,neutral_expression,neutral_paraphrase,neutral_sentence,neutral_alternatives,category,source_type,source_name,source_url,confidence,review_status,notes
kg0002,Bounce,"I'm bouncing, see you later.",leave or exit,To leave or exit.,"I'm bouncing, see you later. Meaning: leave or exit.",,action_event,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_sentence_needs_manual_rewrite|category_quota_full,popularity=Medium
kg0004,Chill,I'm just chilling today.,Relaxed or easy-going,Relaxed or easy-going.,I'm just chilling today. Meaning: Relaxed or easy-going.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:neutral_sentence_needs_manual_rewrite,popularity=High
kg0008,High-Key,I'm high-key excited for this.,Emphatically or openly,Emphatically or openly.,I'm Emphatically or openly excited for this.,,intensifier,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:manual_review_required,popularity=High
kg0009,Hype,The hype is real.,Intense excitement,Intense excitement.,The Intense excitement is real.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0010,Karen,Don't be such a Karen.,Entitled or demanding woman,Entitled or demanding woman.,Don't be such a Entitled or demanding woman.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0011,L,We took the L on that one.,Loss or failure,Loss or failure.,We took the Loss or failure on that one.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:single_character_slang|category_quota_full,popularity=High
kg0012,Noob,He's such a noob at this game.,Newbie or beginner,Newbie or beginner.,He's such a Newbie or beginner at this game.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:category_quota_full,popularity=Medium
kg0013,Oof,"Oof, that must have hurt.",An expression of sympathy,An expression of sympathy.,"An expression of sympathy, that must have hurt.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0014,Periodt,"And that's the truth, periodt.",definitely,Used to emphasize the end of a statement.,"And that's the truth, definitely.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:category_quota_full,popularity=High
kg0015,Receipts,Show me the receipts for your claims.,Proof or evidence,Proof or evidence.,Show me the Proof or evidence for your claims.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0016,Spill,"Spill the tea, what happened?",Reveal the truth,Reveal the truth.,"Reveal the truth the tea, what happened?",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0017,Thirsty,He's so thirsty for likes.,Desperate for attention or affection,Desperate for attention or affection.,He's so Desperate for attention or affection for likes.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0019,Wig,My wig was snatched by that performance.,A reaction to something surprising or shocking,A reaction to something surprising or shocking.,My A reaction to something surprising or shocking was snatched by that performance.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=Medium
kg0020,Yeet,He yeeted the ball across the field.,throw something with force; also used for excitement,To throw something with force; also used for excitement.,He yeeted the ball across the field. Meaning: throw something with force; also used for excitement.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|explanatory_neutral_expression|neutral_sentence_needs_manual_rewrite|category_quota_full,popularity=High
kg0021,Zoomer,"As a Zoomer, she knows all the trends.",A member of Generation Z,A member of Generation Z.,"As a A member of Generation Z, she knows all the trends.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:category_quota_full,popularity=Medium
kg0022,Boujee,She's living the boujee life.,Luxurious or fancy,Luxurious or fancy.,She's living the Luxurious or fancy life.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:manual_review_required|category_quota_full,popularity=High
kg0023,Clout,He's just doing it for the clout.,Influence or power,Influence or power.,He's just doing it for the Influence or power.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0024,Extra,She's so extra with her outfits.,"Over the top, excessive","Over the top, excessive.","She's so Over the top, excessive with her outfits.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:category_quota_full,popularity=Medium
kg0025,Finesse,He finessed his way into the club.,handle something skillfully,To handle something skillfully.,He finessed his way into the club. Meaning: handle something skillfully.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:sensitive_or_explicit|neutral_sentence_needs_manual_rewrite,popularity=Medium
kg0026,Ghosting,He ghosted me after our date.,Suddenly cutting off all communication with someone,Suddenly cutting off all communication with someone.,He ghosted me after our date. Meaning: Suddenly cutting off all communication with someone.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|neutral_sentence_needs_manual_rewrite|category_quota_full,popularity=High
